--- source : https://socket.dev/blog/antv-packages-compromised#Affected-Packages ---

@antv/a8 (v0.1.1, v0.2.1)
@antv/adjust (v0.3.5, v0.4.5)
@antv/algorithm (v0.2.26, v0.3.26)
@antv/async-hook (v2.3.9, v2.4.9)
@antv/attr (v0.4.5, v0.5.5)
@antv/ava (v3.5.1, v3.6.1)
@antv/ava-react (v3.4.2, v3.5.2)
@antv/awards (v0.1.9, v0.2.9)
@antv/calendar-heatmap (v1.2.2, v1.3.2)
@antv/chart-linter (v1.2.6, v1.3.6)
@antv/chart-node-g6 (v0.1.4, v0.2.4)
@antv/chart-visualization-skills (v0.2.3, v0.3.3)
@antv/ckb (v2.1.4, v2.2.4)
@antv/color-schema (v0.3.3, v0.4.3)
@antv/color-util (v2.1.6, v2.2.6)
@antv/component (v2.2.11, v2.3.11)
@antv/coord (v0.5.7, v0.6.7)
@antv/d3-color (v1.1.0, v1.2.0)
@antv/d3-interpolate (v1.1.3, v1.2.3)
@antv/data-samples (v1.1.1, v1.2.1)
@antv/data-set (v0.12.8, v0.13.8)
@antv/data-wizard (v2.1.4, v2.2.4)
@antv/dipper-component (v0.1.4, v0.2.4)
@antv/dipper-hooks (v0.3.1, v0.4.1)
@antv/dipper-map (v1.1.10, v1.2.10)
@antv/dom-util (v2.1.4, v2.2.4)
@antv/dumi-theme-antv (v0.10.4, v0.9.4)
@antv/dw-analyzer (v1.2.5, v1.3.5)
@antv/dw-random (v1.2.7, v1.3.7)
@antv/dw-transform (v1.2.7, v1.3.7)
@antv/dw-util (v1.2.4, v1.3.4)
@antv/event-emitter (v0.2.3, v0.3.3)
@antv/expr (v1.1.2, v1.2.2)
@antv/f-charts (v0.1.0, v0.2.0)
@antv/f-engine (v1.11.0, v1.12.0)
@antv/f-lottie (v1.11.0, v1.12.0)
@antv/f-my (v1.11.0, v1.12.0)
@antv/f-react (v1.11.0, v1.12.0)
@antv/f-test-utils (v1.1.9, v1.2.9)
@antv/f-vue (v1.11.0, v1.12.0)
